Customer Zipcode,Customer City,Customer Country,Customer State
725,Caguas,Puerto Rico,PR
95125,San Jose,EE. UU.,CA
90027,Los Angeles,EE. UU.,CA
14150,Tonawanda,EE. UU.,NY
33162,Miami,EE. UU.,FL
94583,San Ramon,EE. UU.,CA
11520,Freeport,EE. UU.,NY
93905,Salinas,EE. UU.,CA
1960,Peabody,EE. UU.,MA
729,Canovanas,Puerto Rico,PR
90723,Paramount,EE. UU.,CA
60056,Mount Prospect,EE. UU.,IL
90813,Long Beach,EE. UU.,CA
95670,Rancho Cordova,EE. UU.,CA
59102,Billings,EE. UU.,MT
18702,Wilkes Barre,EE. UU.,PA
48066,Roseville,EE. UU.,MI
90706,Bellflower,EE. UU.,CA
60187,Wheaton,EE. UU.,IL
48238,Detroit,EE. UU.,MI
75220,Dallas,EE. UU.,TX
17013,Carlisle,EE. UU.,PA
75228,Dallas,EE. UU.,TX
19702,Newark,EE. UU.,DE
91402,Panorama City,EE. UU.,CA
30318,Atlanta,EE. UU.,GA
94539,Fremont,EE. UU.,CA
14609,Rochester,EE. UU.,NY
75211,Dallas,EE. UU.,TX
957,Bayamon,Puerto Rico,PR
784,Guayama,Puerto Rico,PR
795,Juana Diaz,Puerto Rico,PR
20744,Fort Washington,EE. UU.,MD
93304,Bakersfield,EE. UU.,CA
11368,Corona,EE. UU.,NY
45238,Cincinnati,EE. UU.,OH
20874,Germantown,EE. UU.,MD
75006,Carrollton,EE. UU.,TX
77093,Houston,EE. UU.,TX
90023,Los Angeles,EE. UU.,CA
96706,Ewa Beach,EE. UU.,HI
8701,Lakewood,EE. UU.,NJ
13440,Rome,EE. UU.,NY
92083,Vista,EE. UU.,CA
76106,Fort Worth,EE. UU.,TX
54935,Fond Du Lac,EE. UU.,WI
19139,Philadelphia,EE. UU.,PA
91764,Ontario,EE. UU.,CA
32765,Oviedo,EE. UU.,FL
14221,Buffalo,EE. UU.,NY
96822,Honolulu,EE. UU.,HI
92056,Oceanside,EE. UU.,CA
14120,North Tonawanda,EE. UU.,NY
93611,Clovis,EE. UU.,CA
11434,Jamaica,EE. UU.,NY
62040,Granite City,EE. UU.,IL
2155,Medford,EE. UU.,MA
91766,Pomona,EE. UU.,CA
85281,Tempe,EE. UU.,AZ
92703,Santa Ana,EE. UU.,CA
17402,York,EE. UU.,PA
80010,Aurora,EE. UU.,CO
93065,Simi Valley,EE. UU.,CA
20904,Silver Spring,EE. UU.,MD
55124,Saint Paul,EE. UU.,MN
78201,San Antonio,EE. UU.,TX
19143,Philadelphia,EE. UU.,PA
19149,Philadelphia,EE. UU.,PA
10466,Bronx,EE. UU.,NY
27858,Greenville,EE. UU.,NC
7960,Morristown,EE. UU.,NJ
92115,San Diego,EE. UU.,CA
93030,Oxnard,EE. UU.,CA
33147,Miami,EE. UU.,FL
87111,Albuquerque,EE. UU.,NM
79109,Amarillo,EE. UU.,TX
33549,Lutz,EE. UU.,FL
97701,Bend,EE. UU.,OR
8816,East Brunswick,EE. UU.,NJ
29720,Lancaster,EE. UU.,SC
91762,Ontario,EE. UU.,CA
77015,Houston,EE. UU.,TX
23666,Hampton,EE. UU.,VA
10016,New York,EE. UU.,NY
93257,Porterville,EE. UU.,CA
97223,Portland,EE. UU.,OR
44136,Strongsville,EE. UU.,OH
79927,El Paso,EE. UU.,TX
78840,Del Rio,EE. UU.,TX
84010,Bountiful,EE. UU.,UT
98031,Kent,EE. UU.,WA
60620,Chicago,EE. UU.,IL
2360,Plymouth,EE. UU.,MA
11691,Far Rockaway,EE. UU.,NY
77088,Houston,EE. UU.,TX
19124,Philadelphia,EE. UU.,PA
48227,Detroit,EE. UU.,MI
92840,Garden Grove,EE. UU.,CA
92105,San Diego,EE. UU.,CA
60609,Chicago,EE. UU.,IL
92870,Placentia,EE. UU.,CA
95148,San Jose,EE. UU.,CA
44060,Mentor,EE. UU.,OH
95051,Santa Clara,EE. UU.,CA
7083,Union,EE. UU.,NJ
90805,Long Beach,EE. UU.,CA
92683,Westminster,EE. UU.,CA
33068,Pompano Beach,EE. UU.,FL
91702,Azusa,EE. UU.,CA
33324,Fort Lauderdale,EE. UU.,FL
8540,Princeton,EE. UU.,NJ
8861,Perth Amboy,EE. UU.,NJ
45140,Loveland,EE. UU.,OH
23455,Virginia Beach,EE. UU.,VA
40214,Louisville,EE. UU.,KY
14094,Lockport,EE. UU.,NY
60608,Chicago,EE. UU.,IL
10314,Staten Island,EE. UU.,NY
85719,Tucson,EE. UU.,AZ
44120,Cleveland,EE. UU.,OH
10458,Bronx,EE. UU.,NY
14580,Webster,EE. UU.,NY
95207,Stockton,EE. UU.,CA
25401,Martinsburg,EE. UU.,WV
21502,Cumberland,EE. UU.,MD
